crd1000,6154,317485,6154,16460599,6154,23264,6155,162909
crd1001,6963,356375,6963,15420782,6963,7846,6964,27703
crd1002,6791,10847,6791,15847409,6791,4823,6795,6824
crd1003,7002,16800,7002,13820181,7002,3736,7008,17703
crd1004,6895,10177,6895,12847669,6895,3924,6895,10315
crd1005,6409,17578,6409,12742723,6409,6219,6425,14465
crd1006,6217,19698,6217,13572187,6217,3857,6217,20585
crd1007,7088,4810,7088,14000831,7088,3287,7088,6767
crd1008,6490,24704,6490,13930364,6490,3837,6490,25819
crd1009,6575,40160,6575,13081679,6575,5355,6588,38258
crd300,3624,396,3624,32301,3624,366,3624,493
crd301,3268,586,3268,33766,3268,530,3268,1083
crd302,3989,385,3989,36172,3989,245,3989,430
crd303,3849,2110,3849,31259,3849,277,3849,3510
crd304,3918,753,3918,33092,3918,1298,3918,1588
crd305,3765,817,3765,34588,3765,347,3793,1064
crd306,3792,516,3792,34641,3792,275,3807,557
crd307,3917,462,3917,37397,3917,430,3917,488
crd308,3700,1060,3700,35905,3700,296,3700,1270
crd309,3716,4789,3716,37250,3716,289,3716,904
crd500,4910,2047,4910,595780,4910,774,4910,5698
crd501,5111,2501,5111,487575,5111,756,5111,2571
crd502,4877,3373,4877,483773,4877,782,4877,2124
crd503,4532,2266,4532,437847,4532,901,4532,2571
crd504,4712,3853,4712,414880,4712,708,4712,1885
crd505,4875,1287,4875,433339,4875,799,4881,2476
crd506,4667,971,4667,444270,4667,722,4697,1240
crd507,4740,3931,4740,438700,4740,980,4740,6413
crd508,4981,1392,4981,443021,4981,1147,4981,1756
crd509,4587,3328,4587,447218,4587,920,4587,2010
crd700,5761,12399,5761,2134277,5761,1703,5761,12555
crd701,5821,3498,5821,2356495,5821,1831,5822,4003
crd702,6141,3686,6141,2398867,6141,1363,6141,3673
crd703,5845,9915,5845,2363553,5845,1580,5862,11028
crd704,5558,5494,5558,2337564,5558,2025,5558,6287
