crd1000,6154,395973,6154,221479,6154,274467,6154,103616
crd1001,6963,179623,6963,26593,6963,38540,6963,34189
crd1002,6791,20441,6791,8236,6791,7469,6791,9920
crd1003,7002,20509,7002,26623,7002,26614,7002,26551
crd1004,6895,9018,6895,14473,6895,9942,6895,19507
crd1005,6409,34488,6409,24900,6409,34301,6409,22437
crd1006,6217,19986,6217,27309,6217,23716,6217,20416
crd1007,7088,8381,7088,10966,7088,10440,7088,6099
crd1008,6490,27713,6490,29339,6490,36283,6490,32785
crd1009,6575,66788,6575,65369,6575,57435,6575,65201
crd300,3624,992,3624,1978,3624,1177,3624,930
crd301,3268,1366,3268,1424,3268,1083,3268,950
crd302,3989,3158,3989,1758,3989,645,3989,654
crd303,3849,2384,3849,2625,3849,3147,3849,2956
crd304,3918,861,3918,883,3918,870,3918,837
crd305,3765,567,3765,550,3765,1140,3765,1426
crd306,3792,527,3792,498,3792,789,3792,568
crd307,3917,422,3917,377,3917,366,3917,424
crd308,3700,915,3700,1459,3700,804,3700,488
crd309,3716,1268,3716,1253,3716,1288,3716,994
crd500,4910,4085,4910,3116,4910,1831,4910,1759
crd501,5111,2668,5111,4879,5111,2729,5111,2535
crd502,4877,3019,4877,4956,4877,3517,4877,2131
crd503,4532,2800,4532,3782,4532,3081,4532,2636
crd504,4712,2509,4712,5573,4712,10190,4712,5301
crd505,4875,2350,4875,2826,4875,1646,4875,8360
crd506,4667,1643,4667,5332,4667,2207,4667,1660
crd507,4740,11296,4740,4945,4740,6228,4740,5520
crd508,4981,2582,4981,5989,4981,2756,4981,1872
crd509,4587,1914,4587,1783,4587,8060,4587,2418
crd700,5761,18651,5761,32810,5761,23847,5761,18651
crd701,5821,4565,5821,4236,5821,7336,5821,5306
crd702,6141,7793,6141,4875,6141,4720,6141,8201
crd703,5845,33540,5845,19811,5845,27641,5845,21118
crd704,5558,5994,5558,7721,5558,5948,5558,6975
crd705,5829,5665,5829,5638,5829,6002,5829,5547
crd706,6054,8508,6054,6759,6054,8139,6054,5750
crd707,5956,8522,5956,4552,5956,3997,5956,7291
crd708,5772,5839,5772,9873,5772,8144,5772,9640
crd709,5474,9263,5474,4228,5474,6611,5474,5670
shrd150,375,198,275,145,229,117,194,154
shrd159,355,258,227,163,181,108,159,185
shrd200,685,385,455,342,340,424,276,3369
shrd209,718,444,484,258,364,229,312,328
shrd300,1610,1808,1093,1560,826,4454,686,1134
shrd309,1601,2052,1099,1437,861,845,707,565
str1000,4403,25622,4261,20885,4261,16619,4261,19329
str1001,4403,20910,4261,15677,4261,16867,4261,15142
str1002,6365,23506,6071,19758,5923,10997,5923,10136
str1003,6365,16215,6071,16233,5923,11904,5923,17406
str1004,7930,17475,7628,12224,7339,12849,7197,6956
str1005,7930,12652,7628,14855,7339,11640,7197,7516
str1006,9760,11868,9418,11596,9125,14315,8832,12075
str1007,9760,13582,9418,12445,9125,28168,8832,20302
str1008,11540,81136,11151,24244,10854,15794,10563,15988
str1009,11583,23094,11188,30040,10897,22144,10605,15608
str300,3613,532,3457,308,3457,296,3457,306
str301,3601,467,3448,321,3448,431,3448,467
str302,5089,737,4777,729,4629,336,4629,286
str303,4990,477,4692,438,4546,579,4546,575
str304,6368,719,6052,663,5763,628,5624,335
str305,6467,956,6162,1740,5854,921,5713,771
str306,7884,592,7524,655,7229,546,6917,403
str307,7768,679,7436,478,7124,745,6834,831
str308,9030,1962,8658,1550,8350,887,8049,887
str309,9169,945,8793,970,8498,1041,8192,942
str500,3807,6561,3659,2382,3659,2189,3659,1880
str501,3938,4476,3779,2503,3779,1785,3779,2536
str502,5482,6335,5183,3304,5036,1967,5036,1900
str503,5377,3063,5095,5502,4959,1794,4959,2246
str504,6919,2381,6625,4417,6338,3032,6187,1443
str505,6880,3307,6590,6637,6308,3746,6163,1875
str506,8449,2321,8104,5551,7807,2285,7519,4517
str507,8404,3345,8047,3645,7746,2798,7440,6608
str508,9941,3694,9565,2410,9267,2393,8981,1981
str509,9954,3639,9565,5326,9255,3091,8966,1939
str700,4100,12414,3956,6547,3956,14710,3956,8452
str701,4069,14394,3922,6308,3922,8644,3922,6396
str702,5724,10868,5433,6233,5297,5574,5297,3321
str703,5728,4592,5430,6860,5284,3002,5284,3111
str704,7497,7333,7187,4456,6898,3158,6754,2652
str705,7311,4037,7028,5214,6749,9646,6606,3945
